source_id,title,publisher,url,date,source_type,topic
SRC-11,"Form 8-K Exhibit 99.1, 'HPE reports fiscal 2026 first quarter results' (ex-991x392026x8k.htm)",U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559026000028/ex-991x392026x8k.htm,2026-03-09,SEC filing,financials
SRC-12,"Form 10-Q for quarter ended Jan 31, 2026 (hpe-20260131.htm)",U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559026000032/hpe-20260131.htm,2026-03-10,SEC filing,financials
SRC-13,HPE Q2 FY2026 earnings conference call transcript,HPE Investor Relations,https://investors.hpe.com/~/media/Files/H/HP-Enterprise-IR/documents/q2-2026/q2-2026-transcript.pdf,2026-06-01,earnings call transcript,AI systems orders
SRC-14,"Form 8-K Exhibit 99.1, 'HPE reports fiscal 2026 second quarter results' (ex-991x612026x8k.htm)",U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559026000052/ex-991x612026x8k.htm,2026-06-01,SEC filing,financials
SRC-15,"Form 10-Q for quarter ended Apr 30, 2026 (hpe-20260430.htm)",U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559026000055/hpe-20260430.htm,2026-06-02,SEC filing,financials
SRC-16,HPE AI Factory With NVIDIA Expands for the Era of Agents (NVIDIA Blog),NVIDIA Blog,https://blogs.nvidia.com/blog/hpe-ai-factory-agentic-enterprise/,2026-06-16,partner blog (NVIDIA-authored),"NVIDIA partnership, HPE Private Cloud AI roadmap, HPE AI Factory, Alletra X10000, confidential computing"
SRC-17,HPE Q3 FY2026 earnings presentation (slides),HPE Investor Relations,https://investors.hpe.com/~/media/Files/H/HP-Enterprise-IR/documents/q3-2026/q3-2026-earnings-presentation.pdf,2026-09-02,earnings presentation,AI backlog
SRC-18,"HPE Q3 FY2026 earnings call transcript and presentation — AI demand, backlog, GreenLake, Private Cloud AI",HPE Investor Relations,https://investors.hpe.com/~/media/Files/H/HP-Enterprise-IR/documents/q3-2026/q3-2026-transcript.pdf,2026-09-02,earnings call transcript / earnings presentation,"AI systems orders/backlog/revenue, Networks for AI, Private Cloud AI, GreenLake, storage"
SRC-19,HPE reports fiscal 2026 third quarter results (Form 8-K Exhibit 99.1),U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559026000078/ex-991x922026x8k.htm,2026-09-02,earnings release,"latest quarterly results, segment results, guidance"
SRC-20,"HPE Form 10-Q for quarter ended July 31, 2026 — Cloud & AI segment, memory supply constraints, Oracle warrant",U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559026000080/hpe-20260731.htm,2026-09-03,10-Q,"Cloud & AI segment definition and drivers, AI-driven memory shortage, Oracle AI data center networking warrant, goodwill"
SRC-21,HPE Private Cloud AI | HPE Developer Portal,HPE Developer,https://developer.hpe.com/platform/hpe-private-cloud-ai/home/,accessed 2,product page,HPE Private Cloud AI - definition
